,Часы звонков,1 курс,,,,1 курс,,,,1 курс,,,,1 курс,,,,1 курс,,,,,1 курс,,,,1 курс,,,1 курс,,,,2 курс,,,,2 курс,,,,2 курс,,,,,,2 курс,,,,,2 курс,,2 курс,,,2 курс,,,,3 курс,,,3 курс,,,,3 курс,,3 курс,,,,,3 курс,,3 курс,,,,4 курс,,,,,,,4 курс,,,4 курс,,,,,,4 курс,,,
,,1 группа,,2 группа,,3 группа,,4 группа,,5 группа,,6 группа,,7 группа,,8 группа,,9 группа,,,10 группа,,11 группа,,12 группа ,ПММ,13 группа ,,14 группа,15 группа ,,16 группа,,1 группа,,2 группа,,3 группа,,4 группа,,5 группа,,6 группа,,7 группа,,8 группа,,9 группа,,10 группа,11 группа,ПММ,12 группа,,13 группа,14 группа,,15 группа,,1 группа ,2 группа ,3 группа,4 группа,,5 группа,,6 группа,,7 группа,,8 группа,9 группа,ПММ,10 группа,,11 группа ,,12 группа ,,1 группа,2 группа,3 группа,4 группа,,5 группа,,6 группа,,7 группа,8 группа,,9 группа,ПММ,10 группа,,11 группа ,,12 группа ,
,,"Направление ""Информационные системы и технологии""",,,,,,,,,,,,"Направление ""Программная инженерия""",,,,,,,"Направление ""Информационная безопасность""",,,,"Специальность ""Компьютерная безопасность""",,"Направление ""Прикладная информатика""",,,"Направление ""Математика и компьютерные науки""",,,,"Направление ""Информационные системы и технологии"" ",,,,,,,,"Направление ""Программная инженерия""",,,,,,"Направление ""Информационная безопасность""",,,,,"Специальность ""Компьютерная безопасность""",,"Направление ""Прикладная информатика""",,,"Направление ""Математика и компьютерные науки""",,,,"Направление ""Информационные системы и технологии"" ",,,,,,,"Направление ""Программная инженерия""",,"Направление ""ИБ""",,,"Специальность ""Компьютерная безопасность""",,"Направление ""Прикладная информатика в экономике""",,"Направление ""Математика и компьютерные науки""",,,,"Направление ""Информационные системы и технологии"" ",,,,,,,"Направление ""Программная инженерия""",,,"Направление ""ИБ""",,"Специальность ""Компьютерная безопасность""",,"Направление ""Прикладная информатика"" ",,"Направление ""Математика и компьютерные науки""",,,
,,,,,,,,,,,,,,"профиль ""Информационные системы и сетевые технологии"" ",,,,,,," профиль ""Безопасность компьютерных систем"" ",,,,"специализация ""АБКС""","специализация ""ММЗИ""","профиль ""Прикладная информатика в экономике""",,,,,,,,,,,,,,,"профиль ""Информационные системы и сетевые технологии"" ",,,,,," профиль ""Безопасность компьютерных систем"" ",,,,,"специализация ""АБКС""","специализация ""ММЗИ""","профиль ""Прикладная информатика в экономике""",,,,,,,ИСиСТ,ИСТК,ОИМО,ИСиТУП,,ПИвИС ,,"профиль ""Информационные системы и сетевые технологии"" ",," профиль ""Безопасность компьютерных систем"" ",,,"специализация ""АБКС""","специализация ""ММЗИ""","профиль ""Прикладная информатика в экономике"" ",,"профиль ""Распределенные системы и искусственный интеллект""",,"профиль ""Квантовая теория информации""",,ИСиСТ,ИСТК,ОИМО,ИСиТУП,,ПИвИС,,"профиль ""Информационные системы и сетевые технологии""",,," профиль ""Безопасность компьютерных систем""",,"специализация ""АБКС""","специализация ""ММЗИ""","профиль ""Прикладная информатика в экономике""",,"профиль ""Распределенные системы и искусственный интеллект""",,"профиль ""Квантовая теория информации""",
Понедельник,8:00 - 9:35,Web-техн. ст.преп. Ермаков М.В. 387,,,,Дискретная математика асс. Стукалова И.В. 477,,Алгебра и геометрия доц. Чуракова Т.А. 380,,,Ин.яз. преп. Гавриш О.А.  308П,,,МЛ и ТА ст.преп. Пашкевич А.А. 307П,,,,Алгебра и геометрия доц. Атанов А.В. 479,,,,,,,,,,,,АиСД ст. преп. Соломатин Д.И. 295,Ин.яз. преп. Гафарова М.Х. 309П,,,Электроника асс. Захаров В.И. 420,,,,,,Ин.яз. преп. Семенов В.П. 314П,,,,,,,,,,,,,,,,,,Численные методы асс. Денисенко А.И. 291,,,,Военная подготовка,,,,,,,,,,,,Учебно лабораторный практикум  (id=18422)  ст.преп. Фролова О.А.  (ДО),,Военная подготовка,,,,,,,Архитектура ИС асс. Попова Е.В. 301П,,,,,,,,,,,УЦ,,,,,,,
,,"Основы права и антикоррупционного законодательства
доц. Панюшкина О.В. 305П",,,,,,,,,,Ин.яз. преп. Гавриш О.А.  308П,,Ин.яз. доц. Стрельникова М.А. 303П,МЛ и ТА ст.преп. Пашкевич А.А. 307П,,,,,,,,,,,,,,,,,,АиСД ст. преп. Соломатин Д.И. 295,,,,,,,,Ин.яз. преп. Семенов В.П. 314П,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Безопасность компьютерных сетей ст.преп. Коваль А.С. 293,,,,,,,,,
,9:45 - 11:20,ТФКП ст.преп. Попова А.Е. 307П,,,,Алгебра и геометрия доц. Чуракова Т.А. 292,,Архитектура ЭВМ асс. Попова Е.В. 314П,,,Ин.яз. преп. Гавриш О.А.  308П,,,Алгебра и геометрия доц. Атанов А.В. 479,,,,Web-техн. ст.преп. Ермаков М.В. 381,АиСД ст.преп. Соломатин Д.И.  384,,,,,,,,Ин.яз. преп. Семенов В.П. 301П,,,АиСД ст. преп. Соломатин Д.И. 316П,,,,Физическая культура и спорт,,,,,,,,,,,,,Ин.яз. преп. Гафарова М.Х. 309П,,,,,,,,Организация бизнес-процессов доц. Абрамов И.В. 505П,,,"Основы матем. теории колебаний
асс. Толкачев А.В. 303П",,,,,,,,,,,,,,,,,,,,,,,,Проект. ЦС ст.преп. Малыхин А.Ю. 297,ОМПТ доц. Борисов Д.Н. 290,,,,,,,,МС асс. Швырева А.В. 295,Безопасность компьютерных сетей ст.преп. Коваль А.С. 293,,,,,,,,,
,,,,,,,,"Основы права и антикоррупционного законодательства
доц. Панюшкина О.В. 477",,,,Ин.яз. преп. Гавриш О.А.  308П,,,,,,АиСД ст.преп. Соломатин Д.И.  384,Web-техн. ст.преп. Ермаков М.В. 383,МЛ и ТА ст.преп. Пашкевич А.А. 305П,,,,,Математический анализ преп. Щеглаков Д.А. 227,,,,,Линейная алгебра проф. Вахитова Е.В. 380,,АиСД ст. преп. Соломатин Д.И. 316П,,,,,,,,,,,,,,Урмат асс. Некипелов Е.А. 314П,,,,,,,,,,,,,Ин.яз. преп. Гафарова М.Х. 309П,,"Основы матем. теории колебаний
асс. Толкачев А.В. 381",,,,,,,,,,,,,,,,,,,,,Архитектура ИС асс. Попова Е.В. 303П,,,,,,,,,,,,,,,,,,,
,11:30-13:05,Алгебра и геометрия доц. Чуракова Т.А. 380,,,,,,,Web-техн. ст.преп. Ермаков М.В. 295,,,,,Дискретная математика доц. Попов М.И.  305П,Дискретная математика доц. Попов М.И.  305П,,,,Ин.яз. преп. Гавриш О.А. 303П,Алгебра и геометрия доц. Атанов А.В. 385,,,,,Математический анализ преп. Щеглаков Д.А. 227,,"Практ. на ЭВМ по дисц. Програм.-е
 ст.преп. Соломатин Д.И. 382",,Ин.яз. преп. Гафарова М.Х. 309П,Линейная алгебра проф. Вахитова Е.В. 479,,,,Философия ст.преп. Вяткина А.Г.  292,,ЯиСП доц. Михайлюк Е.А. 383,,,,,Электроника асс. Захаров В.И. 420,Ин.яз. доц. Стрельникова М.А. 308П,,,,,Урмат асс. Некипелов Е.А. 290,,,,,ЯиСП ст.преп. Чекмарев А.И. 291,,,Методы выч. в бизнес-прил. доц. Копытин А.В.  477,,,Основы матем. теории колебаний асс. Толкачев А.В. 307П,,,,,,,,,,,,,,,,,,,,,,,,Проектирование ЦС ст.преп. Малыхин А.Ю.  297,Архитектура ИС асс. Попова Е.В. 387,,,Разработка ERP асс. Соломатин А.И. 314П,,,,,"Алгоритмы на строках
проф. Махортов С.Д. 384",МС асс. Швырева А.В. 293,,,,,,СиСТК ст.преп. Коваль А.С. 316П,,Русский язык и культура речи преп. Акованцева Н.В.  505П,
,,,,,,,,Web-техн. ст.преп. Ермаков М.В. 387,Архитектура ЭВМ асс. Попова Е.В. 303П,,,,,,,,,МЛ и ТА ст.преп. Пашкевич А.А. 307П,,,,,,,,,,"Практ. на ЭВМ по дисц. Програм.-е
 ст.преп. Соломатин Д.И.  301П",,,,,,,,,,ЯиСП доц. Михайлюк Е.А. 383,,,,,,,,Урмат асс. Некипелов Е.А. 382,,,,,,,,,Практикум СиАКОД ст.преп. Коротков В.В. 291,,Методы вычислений в бизнес-приложениях доц. Копытин А.В. 381,,,Основы матем. теории колебаний асс. Толкачев А.В. 477,,,,,,,,,,,,,,,,,,,,,,,ОМПТ доц. Борисов Д.Н. 290,,,,,,,,,,,,,,,Русский язык и культура речи преп. Акованцева Н.В. 505П,,СиСТК ст.преп. Коваль А.С. 316П,
,13:25-15:00,,,,,,,,,,,,,,Ин.яз. доц. Стрельникова М.А. 308П,,,Ин.яз. преп. Гавриш О.А.  309П,,АиСД ст.преп. Соломатин Д.И. 382,,,,,Русский язык и культура речи преп. Акованцева Н.В. 437,,Математический анализ асс. Толкачев А.В.  505П,,,Аналитическая геометрия проф. Вахитова Е.В. 479,,,,ЯиСП ст.преп. Чекмарев А.И. 291,,Урмат доц. Попов М.И. 383,,,,,,Методы вычислений доц. Атанов А.В. 385,,,,Философия ст.преп. Вяткина А.Г.  305П,,Организационное и правовое обеспечение информационной безопасности доц. Филиппова Н.В. 477,,,Электротехника доц. Зуев С.А. 307П,Программирование в среде MATLAB доц. Иванков А.Ю. 290,,"Модели безопасности компьютерных систем
доц. Нестеровский О.И. 303П",Практикум СиАКОД ст.преп. Коротков В.В. 293,ВССиТ ст.преп. Коваль А.С. 295,"Методы выч. в бизнес-приложениях
доц. Копытин А.В. 301П",Математическая статистика проф. Клинских А.Ф. 292,,,,,,,,,,,,,,,,,,,,,,,,"Архитектура ИС
асс. Попова Е.В. 387",,,Разработка ERP асс. Соломатин А.И. 314П,МС асс. Швырева А.В. 297,Алг. на строках проф. Махортов С.Д. 384,Алг. на строках проф. Махортов С.Д. 384,,,,,,,,,,ЛОИ доц. Вахтин А.А. 380,,,Квантовая теория информации доц. Борзунов С.В. 381
